rebalance_date,next_date,holdings,n_holdings,turnover,trade_cost,gross_return,net_return,nav
2025-01-02,2025-01-09,"601615.SH,688213.SH,688192.SH,300100.SZ,688629.SH,688235.SH,688709.SH,002202.SZ,600095.SH,002025.SZ",10,0.5,0.0013,-0.005086330861861399,-0.006386330861861399,0.9936136691381386
2025-01-09,2025-01-16,"300718.SZ,688347.SH,002265.SZ,688017.SH,688027.SH,688322.SH,002335.SZ,002851.SZ,688213.SH,600673.SH",10,0.9,0.00234,0.06530525908535292,0.06296525908535293,1.0561768112461696
2025-01-16,2025-01-23,"300718.SZ,002131.SZ,688347.SH,688235.SH,688629.SH,600602.SH,300058.SZ,300972.SZ,002335.SZ,600673.SH",10,0.6,0.00156,0.04608876435725438,0.044528764357254384,1.1032070595937464
2025-01-23,2025-02-07,"688347.SH,300718.SZ,002335.SZ,300100.SZ,688235.SH,003021.SZ,688018.SH,688608.SH,301536.SZ,300458.SZ",10,0.6,0.00156,0.07172530599383123,0.07016530599383122,1.1806139205046964
2025-02-07,2025-02-14,"600126.SH,002335.SZ,002261.SZ,300100.SZ,300718.SZ,002065.SZ,688347.SH,300972.SZ,300570.SZ,300454.SZ",10,0.6,0.00156,0.17051205004446474,0.16895205004446473,1.3800810626849975
2025-02-14,2025-02-21,"002065.SZ,300718.SZ,600126.SH,600602.SH,002335.SZ,300100.SZ,688220.SH,688114.SH,300676.SZ,002261.SZ",10,0.4,0.00104,0.2655697818802111,0.2645297818802111,1.7451536051740697
2025-02-21,2025-02-28,"688114.SH,600126.SH,688709.SH,688266.SH,000887.SZ,688561.SH,600602.SH,002335.SZ,300676.SZ,002402.SZ",10,0.5,0.0013,0.01902486869339467,0.01772486869339467,1.7760862236755843
2025-02-28,2025-03-07,"600602.SH,300454.SZ,002065.SZ,300100.SZ,002261.SZ,688114.SH,002195.SZ,002335.SZ,688166.SH,600126.SH",10,0.6,0.00156,0.12075733620488331,0.1191973362048833,1.9877909704079044
2025-03-07,2025-03-14,"600126.SH,300100.SZ,300058.SZ,000967.SZ,688220.SH,688166.SH,688266.SH,002335.SZ,688336.SH,688114.SH",10,0.5,0.0013,0.05072513161223391,0.04942513161223391,2.086037800737925
2025-03-14,2025-03-21,"300100.SZ,600602.SH,688336.SH,688709.SH,688213.SH,600312.SH,601615.SH,603688.SH,000967.SZ",9,0.7,0.0018199999999999998,0.044430731176809735,0.04261073117680973,2.174925396689832
