,pure_ic
total_return,0.21711103339625115
annual_return,0.14839604920139893
annual_volatility,0.1508934856929587
sharpe_ratio,0.983449010538191
max_drawdown,-0.08619634275587774
calmar_ratio,1.7216049365537585
win_rate,0.5857142857142857
periods,71.0
