,total_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,periods
original,463.3155382263125,79.32793153631273,0.5361990685079667,147.9449260459394,-0.07389257121667198,1073.5576016661119,0.8985507246376812,70.0
mined,480.21109270347023,81.40508684565705,0.4909372580643959,165.81566281322898,-0.046954801493087985,1733.6903630109127,0.8985507246376812,70.0
pure_ic,0.2377865178220715,0.16459664398186624,0.1511763481513153,1.0887724567676307,-0.08262012255963269,1.9922101164043347,0.5942028985507246,70.0
csi500_ew,0.3896217489162037,0.2649373081329629,0.19507135667769854,1.3581558699604397,-0.13089073581669586,2.0241104649605663,0.6376811594202898,70.0
