rebalance_date,next_date,n_holdings,gross_return,net_return,nav
2025-01-02,2025-01-09,498,-0.011954936124679147,-0.011954936124679147,0.9880450638753209
2025-01-09,2025-01-16,498,0.018791047561943774,0.018791047561943774,1.0066114656639458
2025-01-16,2025-01-23,498,0.008606622675044476,0.008606622675044476,1.0152749907292888
2025-01-23,2025-02-07,498,0.04195175316397283,0.04195175316397283,1.0578675565339188
2025-02-07,2025-02-14,497,0.014719771306282981,0.014719771306282981,1.0734391250384345
2025-02-14,2025-02-21,497,0.026738248129872924,0.026738248129872924,1.102141006716026
2025-02-21,2025-02-28,498,-0.02706923006334218,-0.02706923006334218,1.0723068982429864
2025-02-28,2025-03-07,497,0.027330098061513507,0.027330098061513507,1.1016131509240046
2025-03-07,2025-03-14,496,0.015170214257813982,0.015170214257813982,1.1183248584527474
2025-03-14,2025-03-21,496,-0.019649635720955773,-0.019649635720955773,1.0963501823664614
2025-03-21,2025-03-28,496,-0.00835758681931102,-0.00835758681931102,1.0871873405329664
2025-03-28,2025-04-07,497,-0.1059990687793581,-0.1059990687793581,0.9719464948477651
2025-04-07,2025-04-14,498,0.0663178700750804,0.0663178700750804,1.036403916213009
2025-04-14,2025-04-21,498,0.0007416439280271705,0.0007416439280271705,1.037172558884452
2025-04-21,2025-04-28,498,-0.003689713348970883,-0.003689713348970883,1.0333456894487498
2025-04-28,2025-05-08,497,0.03301450689655432,0.03301450689655432,1.0674610878395803
2025-05-08,2025-05-15,496,-0.011495897247949789,-0.011495897247949789,1.0551896648575918
2025-05-15,2025-05-22,496,-0.0011036366985878396,-0.0011036366985878396,1.0540251188194845
2025-05-22,2025-05-29,497,0.0007007733427930242,0.0007007733427930242,1.0547637515253874
2025-05-29,2025-06-06,498,0.005905863758398833,0.005905863758398833,1.060993042539194
2025-06-06,2025-06-13,499,-0.007735745307754501,-0.007735745307754501,1.0527854705888113
2025-06-13,2025-06-20,499,-0.0202124049927137,-0.0202124049927137,1.0315061442868256
2025-06-20,2025-06-27,499,0.03729101806994021,0.03729101806994021,1.06997205855268
2025-06-27,2025-07-04,499,0.007559273274154572,0.007559273274154572,1.0780602697389894
2025-07-04,2025-07-11,499,0.021648496952361197,0.021648496952361197,1.1013986542028955
2025-07-11,2025-07-18,498,0.011893558166591907,0.011893558166591907,1.1144982031612638
2025-07-18,2025-07-25,498,0.037760406600016845,0.037760406600016845,1.1565821084676213
2025-07-25,2025-08-01,498,-0.01698146541332785,-0.01698146541332785,1.1369416493950046
2025-08-01,2025-08-08,499,0.019158252429644557,0.019158252429644557,1.1587234645118905
2025-08-08,2025-08-15,499,0.03146836058775073,0.03146836058775073,1.1951865923146385
2025-08-15,2025-08-22,499,0.03552874387933223,0.03552874387933223,1.237650070640997
2025-08-22,2025-08-29,499,0.021286965528473166,0.021286965528473166,1.2639958850310442
2025-08-29,2025-09-05,499,-0.017961837586266738,-0.017961837586266738,1.2412921962344072
