rebalance_date,next_date,holdings,n_holdings,turnover,trade_cost,gross_return,net_return,nav
2025-11-17,2025-11-24,"300757.SZ,603444.SH,600884.SH,600737.SH,600392.SH,300058.SZ,002155.SZ,002335.SZ,000400.SZ,688017.SH",10,0.65,0.0016899999999999999,-0.018598045292166198,-0.0202880452921662,1.2558147023236643
2025-11-24,2025-12-01,"300757.SZ,688772.SH,300677.SZ,688676.SH,603444.SH,600884.SH,600699.SH,688599.SH,300432.SZ,002335.SZ",10,0.6,0.00156,0.05402886403544218,0.05246886403544218,1.321705873193594
2025-12-01,2025-12-08,"000400.SZ,603179.SH,688772.SH,300757.SZ,002335.SZ,601615.SH,600699.SH,600884.SH,002430.SZ,000723.SZ",10,0.5,0.0013,0.029258142374846398,0.0279581423748464,1.3586583141740114
2025-12-08,2025-12-15,"300339.SZ,688629.SH,688702.SH,002261.SZ,000021.SZ,600699.SH,688599.SH,600884.SH,000723.SZ,600497.SH",10,0.7,0.0018199999999999998,-0.02590951523833357,-0.027729515238333568,1.3209833777474345
2025-12-15,2025-12-22,"002195.SZ,603179.SH,002131.SZ,300073.SZ,002683.SZ,002065.SZ,002409.SZ,600157.SH,600637.SH,002335.SZ",10,1.0,0.0026,0.00010271959611571902,-0.0024972804038842808,1.317684511844329
2025-12-22,2025-12-29,"002195.SZ,300390.SZ,600095.SH,300757.SZ,603650.SH,002335.SZ,300570.SZ,600977.SH,688608.SH,300339.SZ",10,0.8,0.00208,0.025469788507510305,0.023389788507510306,1.3485048738959897
2025-12-29,2026-01-07,"300432.SZ,002670.SZ,301358.SZ,000830.SZ,601212.SH,300474.SZ,600486.SH,600390.SH,601106.SH,300100.SZ",10,1.0,0.0026,0.030736715875850317,0.028136715875850316,1.3864473723900006
2026-01-07,2026-01-14,"605358.SH,600688.SH,600606.SH,000415.SZ,300699.SZ,002044.SZ,002335.SZ,600879.SH,300570.SZ,300285.SZ",10,1.0,0.0026,0.08494534485421204,0.08234534485421204,1.5006148593916713
2026-01-14,2026-01-21,"002429.SZ,300570.SZ,605358.SH,002025.SZ,600765.SH,600435.SH,002261.SZ,688520.SH,688266.SH,688608.SH",10,0.8,0.00208,-0.04131824116239803,-0.04339824116239803,1.4354908138319136
2026-01-21,2026-01-28,"300570.SZ,002025.SZ,002044.SZ,600737.SH,603444.SH,002558.SZ,600435.SH,301308.SZ,688183.SH,688322.SH",10,0.7,0.0018199999999999998,-0.015273886421694305,-0.017093886421694304,1.4109526969008854
2026-01-28,2026-02-04,"300390.SZ,002044.SZ,300699.SZ,002025.SZ,300570.SZ,600435.SH,600536.SH,688213.SH,688297.SH,601162.SH",10,0.6,0.00156,0.0028573600211247883,0.0012973600211247883,1.4127832105215428
